id_sensor;place;gps
5;Trnavske myto;48.15839365809828,17.128922790334137
6;Trnavske myto;48.15839365809828,17.128922790334137
8;Raca;48.21126991552776,17.15794898683604
2;Raca;48.21126991552776,17.15794898683604
11;Svaty jur;48.2483564997389,17.21807728112588
